CODE,DESCRIPTION,LAST_UPDATED
A072,Cryptosporidiosis,2025-09-10
A073,Isosporiasis,2025-09-10
A078,Other specified protozoal intestinal diseases,2025-09-10
A079,"Protozoal intestinal disease, unspecified",2025-09-10
A08,Viral and other specified intestinal infections,2025-09-10
A080,Rotaviral enteritis,2025-09-10
A081,Acute gastroenteropathy due to Norovirus,2025-09-10
A082,Adenoviral enteritis,2025-09-10
A083,Other viral enteritis,2025-09-10
A084,"Viral intestinal infection, unspecified",2025-09-10
A085,Other specified intestinal infections,2025-09-10
A09,Other gastroenteritis and colitis of infectious and unspecified origin,2025-09-10
A090,Other and unspecified gastroenteritis and colitis of infectious origin,2025-09-10
A099,Gastroenteritis and colitis of unspecified origin,2025-09-10
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",2025-09-10
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",2025-09-10
A151,"Tuberculosis of lung, confirmed by culture only",2025-09-10
A152,"Tuberculosis of lung, confirmed histologically",2025-09-10
A153,"Tuberculosis of lung, confirmed by unspecified means",2025-09-10
A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",2025-09-10
A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",2025-09-10
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically",2025-09-10
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",2025-09-10
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",2025-09-10
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",2025-09-10
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",2025-09-10
A160,"Tuberculosis of lung, bacteriologically and histologically negative",2025-09-10
A161,"Tuberculosis of lung, bacteriological and histological examination not done",2025-09-10
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",2025-09-10
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",2025-09-10
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",2025-09-10
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",2025-09-10
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,2025-09-10
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",2025-09-10
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",2025-09-10
A17,Tuberculosis of nervous system,2025-09-10
A170,Tuberculous meningitis,2025-09-10
A171,Meningeal tuberculoma,2025-09-10
A178,Other tuberculosis of nervous system,2025-09-10
A179,"Tuberculosis of nervous system, unspecified",2025-09-10
A18,Tuberculosis of other organs,2025-09-10
A180,Tuberculosis of bones and joints,2025-09-10
A181,Tuberculosis of genitourinary system,2025-09-10
A182,Tuberculous peripheral lymphadenopathy,2025-09-10
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands",2025-09-10
A184,Tuberculosis of skin and subcutaneous tissue,2025-09-10
A185,Tuberculosis of eye,2025-09-10
A186,Tuberculosis of ear,2025-09-10
A187,Tuberculosis of adrenal glands,2025-09-10
A188,Tuberculosis of other specified organs,2025-09-10
A19,Miliary tuberculosis,2025-09-10
A190,Acute miliary tuberculosis of a single specified site,2025-09-10
A191,Acute miliary tuberculosis of multiple sites,2025-09-10
A192,"Acute miliary tuberculosis, unspecified",2025-09-10
A198,Other miliary tuberculosis,2025-09-10
A199,"Miliary tuberculosis, unspecified",2025-09-10
A20,Plague,2025-09-10
A200,Bubonic plague,2025-09-10
A201,Cellulocutaneous plague,2025-09-10
A202,Pneumonic plague,2025-09-10
A203,Plague meningitis,2025-09-10
A207,Septicaemic plague,2025-09-10
A208,Other forms of plague,2025-09-10
A209,"Plague, unspecified",2025-09-10
A21,Tularaemia,2025-09-10
A210,Ulceroglandular tularaemia,2025-09-10
A211,Oculoglandular tularaemia,2025-09-10
A212,Pulmonary tularaemia,2025-09-10
A213,Gastrointestinal tularaemia,2025-09-10
A217,Generalized tularaemia,2025-09-10
A218,Other forms of tularaemia,2025-09-10
A219,"Tularaemia, unspecified",2025-09-10
A22,Anthrax,2025-09-10
A220,Cutaneous anthrax,2025-09-10
A221,Pulmonary anthrax,2025-09-10
A222,Gastrointestinal anthrax,2025-09-10
A227,Anthrax sepsis,2025-09-10
A228,Other forms of anthrax,2025-09-10
A229,"Anthrax, unspecified",2025-09-10
A23,Brucellosis,2025-09-10
A230,Brucellosis due to Brucella melitensis,2025-09-10
A231,Brucellosis due to Brucella abortus,2025-09-10
A232,Brucellosis due to Brucella suis,2025-09-10
A233,Brucellosis due to Brucella canis,2025-09-10
A238,Other brucellosis,2025-09-10
A239,"Brucellosis, unspecified",2025-09-10
A24,Glanders and melioidosis,2025-09-10
A240,Glanders,2025-09-10
A241,Acute and fulminating melioidosis,2025-09-10
A242,Subacute and chronic melioidosis,2025-09-10
A243,Other melioidosis,2025-09-10
A244,"Melioidosis, unspecified",2025-09-10
A25,Rat-bite fevers,2025-09-10
A250,Spirillosis,2025-09-10
A251,Streptobacillosis,2025-09-10
A259,"Rat-bite fever, unspecified",2025-09-10
A26,Erysipeloid,2025-09-10
A260,Cutaneous erysipeloid,2025-09-10
A267,Erysipelothrix sepsis,2025-09-10
A268,Other forms of erysipeloid,2025-09-10
A269,"Erysipeloid, unspecified",2025-09-10
A27,Leptospirosis,2025-09-10
A270,Leptospirosis icterohaemorrhagica,2025-09-10
A278,Other forms of leptospirosis,2025-09-10
A279,"Leptospirosis, unspecified",2025-09-10
A28,"Other zoonotic bacterial diseases, not elsewhere classified",2025-09-10
A280,Pasteurellosis,2025-09-10
A281,Cat-scratch disease,2025-09-10
A282,Extraintestinal yersiniosis,2025-09-10
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",2025-09-10
A289,"Zoonotic bacterial disease, unspecified",2025-09-10
A30,Leprosy [Hansen disease],2025-09-10
A300,Indeterminate leprosy,2025-09-10
A301,Tuberculoid leprosy,2025-09-10
A302,Borderline tuberculoid leprosy,2025-09-10
A303,Borderline leprosy,2025-09-10
A304,Borderline lepromatous leprosy,2025-09-10
A305,Lepromatous leprosy,2025-09-10
A308,Other forms of leprosy,2025-09-10
A309,"Leprosy, unspecified",2025-09-10
A31,Infection due to other mycobacteria,2025-09-10
A310,Pulmonary mycobacterial infection,2025-09-10
A311,Cutaneous mycobacterial infection,2025-09-10
A318,Other mycobacterial infections,2025-09-10
A319,"Mycobacterial infection, unspecified",2025-09-10
A32,Listeriosis,2025-09-10
A320,Cutaneous listeriosis,2025-09-10
A321,Listerial meningitis and meningoencephalitis,2025-09-10
A327,Listerial sepsis,2025-09-10
A328,Other forms of listeriosis,2025-09-10
A329,"Listeriosis, unspecified",2025-09-10
A33,Tetanus neonatorum,2025-09-10
A34,Obstetrical tetanus,2025-09-10
A35,Other tetanus,2025-09-10
A36,Diphtheria,2025-09-10
A360,Pharyngeal diphtheria,2025-09-10
A361,Nasopharyngeal diphtheria,2025-09-10
A362,Laryngeal diphtheria,2025-09-10
A363,Cutaneous diphtheria,2025-09-10
A368,Other diphtheria,2025-09-10
A369,"Diphtheria, unspecified",2025-09-10
A37,Whooping cough,2025-09-10
A370,Whooping cough due to Bordetella pertussis,2025-09-10
A371,Whooping cough due to Bordetella parapertussis,2025-09-10
A378,Whooping cough due to other Bordetella species,2025-09-10
A379,"Whooping cough, unspecified",2025-09-10
A38,Scarlet fever,2025-09-10
A39,Meningococcal infection,2025-09-10
A390,Meningococcal meningitis,2025-09-10
A391,Waterhouse-Friderichsen syndrome,2025-09-10
A392,Acute meningococcaemia,2025-09-10
A393,Chronic meningococcaemia,2025-09-10
A394,"Meningococcaemia, unspecified",2025-09-10
A395,Meningococcal heart disease,2025-09-10
A398,Other meningococcal infections,2025-09-10
A399,"Meningococcal infection, unspecified",2025-09-10
A40,Streptococcal sepsis,2025-09-10
A400,"Sepsis due to streptococcus, group A",2025-09-10
A401,"Sepsis due to streptococcus, group B",2025-09-10
A402,"Sepsis due to streptococcus, group D and enterococcus",2025-09-10
A403,Sepsis due to Streptococcus pneumoniae,2025-09-10
A408,Other streptococcal sepsis,2025-09-10
A409,"Streptococcal sepsis, unspecified",2025-09-10
A41,Other sepsis,2025-09-10
A410,Sepsis due to Staphylococcus aureus,2025-09-10
A411,Sepsis due to other specified staphylococcus,2025-09-10
A412,Sepsis due to unspecified staphylococcus,2025-09-10
A413,Sepsis due to Haemophilus influenzae,2025-09-10
A414,Sepsis due to anaerobes,2025-09-10
A415,Sepsis due to other Gram-negative organisms,2025-09-10
A418,Other specified sepsis,2025-09-10
A419,"Sepsis, unspecified",2025-09-10
A42,Actinomycosis,2025-09-10
A420,Pulmonary actinomycosis,2025-09-10
A421,Abdominal actinomycosis,2025-09-10
A422,Cervicofacial actinomycosis,2025-09-10
A427,Actinomycotic sepsis,2025-09-10
A428,Other forms of actinomycosis,2025-09-10
A429,"Actinomycosis, unspecified",2025-09-10
A43,Nocardiosis,2025-09-10
A430,Pulmonary nocardiosis,2025-09-10
A431,Cutaneous nocardiosis,2025-09-10
A438,Other forms of nocardiosis,2025-09-10
A439,"Nocardiosis, unspecified",2025-09-10
A44,Bartonellosis,2025-09-10
A440,Systemic bartonellosis,2025-09-10
A441,Cutaneous and mucocutaneous bartonellosis,2025-09-10
A448,Other forms of bartonellosis,2025-09-10
A449,"Bartonellosis, unspecified",2025-09-10
A46,Erysipelas,2025-09-10
A48,"Other bacterial diseases, not elsewhere classified",2025-09-10
A480,Gas gangrene,2025-09-10
A481,Legionnaires disease,2025-09-10
A482,Nonpneumonic Legionnaires disease [Pontiac fever],2025-09-10
A483,Toxic shock syndrome,2025-09-10
A484,Brazilian purpuric fever,2025-09-10
A488,Other specified bacterial diseases,2025-09-10
A49,Bacterial infection of unspecified site,2025-09-10
A490,"Staphylococcal infection, unspecified site",2025-09-10
A491,"Streptococcal and enterococcal infection, unspecified site",2025-09-10
A492,"Haemophilus influenzae infection, unspecified site",2025-09-10
A493,"Mycoplasma infection, unspecified site",2025-09-10
A498,Other bacterial infections of unspecified site,2025-09-10
A499,"Bacterial infection, unspecified",2025-09-10
A50,Congenital syphilis,2025-09-10
A500,"Early congenital syphilis, symptomatic",2025-09-10
A501,"Early congenital syphilis, latent",2025-09-10
A502,"Early congenital syphilis, unspecified",2025-09-10
A503,Late congenital syphilitic oculopathy,2025-09-10
A504,Late congenital neurosyphilis [juvenile neurosyphilis],2025-09-10
A505,"Other late congenital syphilis, symptomatic",2025-09-10
A506,"Late congenital syphilis, latent",2025-09-10
A507,"Late congenital syphilis, unspecified",2025-09-10
A509,"Congenital syphilis, unspecified",2025-09-10
A51,Early syphilis,2025-09-10
A510,Primary genital syphilis,2025-09-10
A511,Primary anal syphilis,2025-09-10
A512,Primary syphilis of other sites,2025-09-10
A513,Secondary syphilis of skin and mucous membranes,2025-09-10
A514,Other secondary syphilis,2025-09-10
A515,"Early syphilis, latent",2025-09-10
A519,"Early syphilis, unspecified",2025-09-10
A52,Late syphilis,2025-09-10
A520,Cardiovascular syphilis,2025-09-10
A521,Symptomatic neurosyphilis,2025-09-10
A522,Asymptomatic neurosyphilis,2025-09-10
A523,"Neurosyphilis, unspecified",2025-09-10
A527,Other symptomatic late syphilis,2025-09-10
A528,"Late syphilis, latent",2025-09-10
A529,"Late syphilis, unspecified",2025-09-10
A53,Other and unspecified syphilis,2025-09-10
A530,"Latent syphilis, unspecified as early or late",2025-09-10
A539,"Syphilis, unspecified",2025-09-10
A54,Gonococcal infection,2025-09-10
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,2025-09-10
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,2025-09-10
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,2025-09-10
A543,Gonococcal infection of eye,2025-09-10
A544,Gonococcal infection of musculoskeletal system,2025-09-10
A545,Gonococcal pharyngitis,2025-09-10
A546,Gonococcal infection of anus and rectum,2025-09-10
A548,Other gonococcal infections,2025-09-10
A549,"Gonococcal infection, unspecified",2025-09-10
A55,Chlamydial lymphogranuloma (venereum),2025-09-10
A56,Other sexually transmitted chlamydial diseases,2025-09-10
A560,Chlamydial infection of lower genitourinary tract,2025-09-10
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,2025-09-10
A562,"Chlamydial infection of genitourinary tract, unspecified",2025-09-10
A563,Chlamydial infection of anus and rectum,2025-09-10
A564,Chlamydial infection of pharynx,2025-09-10
A568,Sexually transmitted chlamydial infection of other sites,2025-09-10
A57,Chancroid,2025-09-10
A58,Granuloma inguinale,2025-09-10
A59,Trichomoniasis,2025-09-10
A590,Urogenital trichomoniasis,2025-09-10
A598,Trichomoniasis of other sites,2025-09-10
A599,"Trichomoniasis, unspecified",2025-09-10
A60,Anogenital herpesviral [herpes simplex] infection,2025-09-10
A600,Herpesviral infection of genitalia and urogenital tract,2025-09-10
A601,Herpesviral infection of perianal skin and rectum,2025-09-10
A609,"Anogenital herpesviral infection, unspecified",2025-09-10
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",2025-09-10
A630,Anogenital (venereal) warts,2025-09-10
A638,Other specified predominantly sexually transmitted diseases,2025-09-10
A64,Unspecified sexually transmitted disease,2025-09-10
A65,Nonvenereal syphilis,2025-09-10
A66,Yaws,2025-09-10
A660,Initial lesions of yaws,2025-09-10
A661,Multiple papillomata and wet crab yaws,2025-09-10
A662,Other early skin lesions of yaws,2025-09-10
A663,Hyperkeratosis of yaws,2025-09-10
A664,Gummata and ulcers of yaws,2025-09-10
A665,Gangosa,2025-09-10
A666,Bone and joint lesions of yaws,2025-09-10
A667,Other manifestations of yaws,2025-09-10
A668,Latent yaws,2025-09-10
A669,"Yaws, unspecified",2025-09-10
A67,Pinta [carate],2025-09-10
A670,Primary lesions of pinta,2025-09-10
A671,Intermediate lesions of pinta,2025-09-10
A672,Late lesions of pinta,2025-09-10
A673,Mixed lesions of pinta,2025-09-10
A679,"Pinta, unspecified",2025-09-10
A68,Relapsing fevers,2025-09-10
A680,Louse-borne relapsing fever,2025-09-10
A681,Tick-borne relapsing fever,2025-09-10
A689,"Relapsing fever, unspecified",2025-09-10
A69,Other spirochaetal infections,2025-09-10
A690,Necrotizing ulcerative stomatitis,2025-09-10
A691,Other Vincent infections,2025-09-10
A692,Lyme disease,2025-09-10
A698,Other specified spirochaetal infections,2025-09-10
A699,"Spirochaetal infection, unspecified",2025-09-10
A70,Chlamydia psittaci infection,2025-09-10
A71,Trachoma,2025-09-10
A710,Initial stage of trachoma,2025-09-10
A711,Active stage of trachoma,2025-09-10
A719,"Trachoma, unspecified",2025-09-10
A74,Other diseases caused by chlamydiae,2025-09-10
A740,Chlamydial conjunctivitis,2025-09-10
A748,Other chlamydial diseases,2025-09-10
A749,"Chlamydial infection, unspecified",2025-09-10
A75,Typhus fever,2025-09-10
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,2025-09-10
A751,Recrudescent typhus [Brill disease],2025-09-10
A752,Typhus fever due to Rickettsia typhi,2025-09-10
A753,Typhus fever due to Rickettsia tsutsugamushi,2025-09-10
A759,"Typhus fever, unspecified",2025-09-10
A77,Spotted fever [tick-borne rickettsioses],2025-09-10
A770,Spotted fever due to Rickettsia rickettsii,2025-09-10
A771,Spotted fever due to Rickettsia conorii,2025-09-10
A772,Spotted fever due to Rickettsia sibirica,2025-09-10
A773,Spotted fever due to Rickettsia australis,2025-09-10
A778,Other spotted fevers,2025-09-10
A779,"Spotted fever, unspecified",2025-09-10
A78,Q fever,2025-09-10
A79,Other rickettsioses,2025-09-10
A790,Trench fever,2025-09-10
A791,Rickettsialpox due to Rickettsia akari,2025-09-10
A798,Other specified rickettsioses,2025-09-10
A799,"Rickettsiosis, unspecified",2025-09-10
A80,Acute poliomyelitis,2025-09-10
A800,"Acute paralytic poliomyelitis, vaccine-associated",2025-09-10
A801,"Acute paralytic poliomyelitis, wild virus, imported",2025-09-10
A802,"Acute paralytic poliomyelitis, wild virus, indigenous",2025-09-10
A803,"Acute paralytic poliomyelitis, other and unspecified",2025-09-10
A804,Acute nonparalytic poliomyelitis,2025-09-10
A809,"Acute poliomyelitis, unspecified",2025-09-10
A81,Atypical virus infections of central nervous system,2025-09-10
A810,Creutzfeldt-Jakob disease,2025-09-10
A811,Subacute sclerosing panencephalitis,2025-09-10
A812,Progressive multifocal leukoencephalopathy,2025-09-10
A818,Other atypical virus infections of central nervous system,2025-09-10
A819,"Atypical virus infection of central nervous system, unspecified",2025-09-10
A82,Rabies,2025-09-10
A820,Sylvatic rabies,2025-09-10
A821,Urban rabies,2025-09-10
A829,"Rabies, unspecified",2025-09-10
A83,Mosquito-borne viral encephalitis,2025-09-10
A830,Japanese encephalitis,2025-09-10
A831,Western equine encephalitis,2025-09-10
A832,Eastern equine encephalitis,2025-09-10
A833,St Louis encephalitis,2025-09-10
A834,Australian encephalitis,2025-09-10
A835,California encephalitis,2025-09-10
A836,Rocio virus disease,2025-09-10
A838,Other mosquito-borne viral encephalitis,2025-09-10
A839,"Mosquito-borne viral encephalitis, unspecified",2025-09-10
A84,Tick-borne viral encephalitis,2025-09-10
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],2025-09-10
A841,Central European tick-borne encephalitis,2025-09-10
A848,Other tick-borne viral encephalitis,2025-09-10
A849,"Tick-borne viral encephalitis, unspecified",2025-09-10
A85,"Other viral encephalitis, not elsewhere classified",2025-09-10
A850,Enteroviral encephalitis,2025-09-10
A851,Adenoviral encephalitis,2025-09-10
A852,"Arthropod-borne viral encephalitis, unspecified",2025-09-10
A858,Other specified viral encephalitis,2025-09-10
A86,Unspecified viral encephalitis,2025-09-10
A87,Viral meningitis,2025-09-10
A870,Enteroviral meningitis,2025-09-10
A871,Adenoviral meningitis,2025-09-10
A872,Lymphocytic choriomeningitis,2025-09-10
A878,Other viral meningitis,2025-09-10
A879,"Viral meningitis, unspecified",2025-09-10
A88,"Other viral infections of central nervous system, not elsewhere classified",2025-09-10
A880,Enteroviral exanthematous fever [Boston exanthem],2025-09-10
A881,Epidemic vertigo,2025-09-10
A888,Other specified viral infections of central nervous system,2025-09-10
A89,Unspecified viral infection of central nervous system,2025-09-10
A92,Other mosquito-borne viral fevers,2025-09-10
A920,Chikungunya virus disease,2025-09-10
A921,O'nyong-nyong fever,2025-09-10
A922,Venezuelan equine fever,2025-09-10
A923,West Nile virus infection,2025-09-10
A924,Rift Valley fever,2025-09-10
A925,Zika virus disease,2025-09-10
A928,Other specified mosquito-borne viral fevers,2025-09-10
A929,"Mosquito-borne viral fever, unspecified",2025-09-10
A93,"Other arthropod-borne viral fevers, not elsewhere classified",2025-09-10
A930,Oropouche virus disease,2025-09-10
A931,Sandfly fever,2025-09-10
A932,Colorado tick fever,2025-09-10
A938,Other specified arthropod-borne viral fevers,2025-09-10
A94,Unspecified arthropod-borne viral fever,2025-09-10
A95,Yellow fever,2025-09-10
A950,Sylvatic yellow fever,2025-09-10
A951,Urban yellow fever,2025-09-10
A959,"Yellow fever, unspecified",2025-09-10
A96,Arenaviral haemorrhagic fever,2025-09-10
A960,Junin haemorrhagic fever,2025-09-10
A961,Machupo haemorrhagic fever,2025-09-10
A962,Lassa fever,2025-09-10
A968,Other arenaviral haemorrhagic fevers,2025-09-10
A969,"Arenaviral haemorrhagic fever, unspecified",2025-09-10
A97,Dengue,2025-09-10
A970,Dengue without warning signs,2025-09-10
A971,Dengue with warning signs,2025-09-10
A972,Severe Dengue,2025-09-10
A979,"Dengue, unspecified",2025-09-10
A98,"Other viral haemorrhagic fevers, not elsewhere classified",2025-09-10
A980,Crimean-Congo haemorrhagic fever,2025-09-10
A981,Omsk haemorrhagic fever,2025-09-10
A982,Kyasanur Forest disease,2025-09-10
A983,Marburg virus disease,2025-09-10
A984,Ebola virus disease,2025-09-10
A985,Haemorrhagic fever with renal syndrome,2025-09-10
A988,Other specified viral haemorrhagic fevers,2025-09-10
A99,Unspecified viral haemorrhagic fever,2025-09-10
B00,Herpesviral [herpes simplex] infections,2025-09-10
B000,Eczema herpeticum,2025-09-10
B001,Herpesviral vesicular dermatitis,2025-09-10
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,2025-09-10
B003,Herpesviral meningitis,2025-09-10
B004,Herpesviral encephalitis,2025-09-10
B005,Herpesviral ocular disease,2025-09-10
B007,Disseminated herpesviral disease,2025-09-10
B008,Other forms of herpesviral infection,2025-09-10
B009,"Herpesviral infection, unspecified",2025-09-10
B01,Varicella [chickenpox],2025-09-10
B010,Varicella meningitis,2025-09-10
B011,Varicella encephalitis,2025-09-10
B012,Varicella pneumonia,2025-09-10
B018,Varicella with other complications,2025-09-10
B019,Varicella without complication,2025-09-10
B02,Zoster [herpes zoster],2025-09-10
B020,Zoster encephalitis,2025-09-10
B021,Zoster meningitis,2025-09-10
B022,Zoster with other nervous system involvement,2025-09-10
B023,Zoster ocular disease,2025-09-10
B027,Disseminated zoster,2025-09-10
B028,Zoster with other complications,2025-09-10
B029,Zoster without complication,2025-09-10
B03,Smallpox,2025-09-10
B04,Monkeypox,2025-09-10
B05,Measles,2025-09-10
B050,Measles complicated by encephalitis,2025-09-10
B051,Measles complicated by meningitis,2025-09-10
B052,Measles complicated by pneumonia,2025-09-10
B053,Measles complicated by otitis media,2025-09-10
B054,Measles with intestinal complications,2025-09-10
B058,Measles with other complications,2025-09-10
B059,Measles without complication,2025-09-10
B06,Rubella [German measles],2025-09-10
B060,Rubella with neurological complications,2025-09-10
B068,Rubella with other complications,2025-09-10
B069,Rubella without complication,2025-09-10
B07,Viral warts,2025-09-10
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",2025-09-10
B080,Other orthopoxvirus infections,2025-09-10
B081,Molluscum contagiosum,2025-09-10
B082,Exanthema subitum [sixth disease],2025-09-10
B083,Erythema infectiosum [fifth disease],2025-09-10
B084,Enteroviral vesicular stomatitis with exanthem,2025-09-10
B085,Enteroviral vesicular pharyngitis,2025-09-10
B088,Other specified viral infections characterized by skin and mucous membrane lesions,2025-09-10
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,2025-09-10
B15,Acute hepatitis A,2025-09-10
B150,Hepatitis A with hepatic coma,2025-09-10
B159,Hepatitis A without hepatic coma,2025-09-10
B16,Acute hepatitis B,2025-09-10
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,2025-09-10
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,2025-09-10
B162,Acute hepatitis B without delta-agent with hepatic coma,2025-09-10
B169,Acute hepatitis B without delta-agent and without hepatic coma,2025-09-10
B17,Other acute viral hepatitis,2025-09-10
B170,Acute delta-(super)infection in chronic hepatitis B,2025-09-10
B171,Acute hepatitis C,2025-09-10
B172,Acute hepatitis E,2025-09-10
B178,Other specified acute viral hepatitis,2025-09-10
B179,"Acute viral hepatitis, unspecified",2025-09-10
B18,Chronic viral hepatitis,2025-09-10
B180,Chronic viral hepatitis B with delta-agent,2025-09-10
B1800,Chronic viral hepatitis B with delta-agent: immune-tolerant phase,2025-09-10
B1809,Chronic viral hepatitis B with delta-agent: other and unspecified phase,2025-09-10
B181,Chronic viral hepatitis B without delta-agent,2025-09-10
B1810,Chronic viral hepatitis B without delta-agent: immune-tolerant phase,2025-09-10
B1819,Chronic viral hepatitis B without delta-agent: other and unspecified phase,2025-09-10
B182,Chronic viral hepatitis C,2025-09-10
B188,Other chronic viral hepatitis,2025-09-10
B189,"Chronic viral hepatitis, unspecified",2025-09-10
B19,Unspecified viral hepatitis,2025-09-10
B190,Unspecified viral hepatitis with hepatic coma,2025-09-10
B199,Unspecified viral hepatitis without hepatic coma,2025-09-10
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,2025-09-10
B200,HIV disease resulting in mycobacterial infection,2025-09-10
B201,HIV disease resulting in other bacterial infections,2025-09-10
B202,HIV disease resulting in cytomegaloviral disease,2025-09-10
B203,HIV disease resulting in other viral infections,2025-09-10
B204,HIV disease resulting in candidiasis,2025-09-10
B205,HIV disease resulting in other mycoses,2025-09-10
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia,2025-09-10
B207,HIV disease resulting in multiple infections,2025-09-10
B208,HIV disease resulting in other infectious and parasitic diseases,2025-09-10
B209,HIV disease resulting in unspecified infectious or parasitic disease,2025-09-10
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,2025-09-10
B210,HIV disease resulting in Kaposi sarcoma,2025-09-10
B211,HIV disease resulting in Burkitt lymphoma,2025-09-10
B212,HIV disease resulting in other types of non-Hodgkin lymphoma,2025-09-10
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",2025-09-10
B217,HIV disease resulting in multiple malignant neoplasms,2025-09-10
B218,HIV disease resulting in other malignant neoplasms,2025-09-10
B219,HIV disease resulting in unspecified malignant neoplasm,2025-09-10
B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,2025-09-10
B220,HIV disease resulting in encephalopathy,2025-09-10
